feature,flutter_file,method,endpoint,path_parameters,query_parameters,request_body,success_status,response_shape,handled_errors,authentication,pagination,media,realtime,legacy_route_file,legacy_controller,legacy_service,legacy_models,classification,confidence,notes
wallet,lib/features/wallet/data/repositories/wallet_repository.dart:11,GET,/api/v1/wallet/me,none,none,none,200,"wallet",none,required,none,no,no,modules/wallet/wallet.routes.ts,wallet.controller,UNKNOWN,UserWallet,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW"
wallet,lib/features/wallet/data/repositories/wallet_repository.dart:23,GET,/api/v1/wallet/transactions,none,"limit;cursor;type;status;sourceType",none,200,list,none,required,cursor,no,no,modules/wallet/wallet.routes.ts,wallet.controller,UNKNOWN,WalletTransaction,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW"
wallet,lib/features/wallet/data/repositories/wallet_repository.dart:48,GET,/api/v1/wallet/withdraw/requests,none,"limit;cursor;status",none,200,list,none,required,cursor,no,no,modules/wallet/wallet.routes.ts,wallet.controller,UNKNOWN,WalletWithdrawRequest,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW"
wallet,lib/features/wallet/data/repositories/wallet_repository.dart:73,POST,/api/v1/wallet/withdraw/requests,none,none,"amount;method;etc.",200/201,"withdraw request",none,required,n/a,no,no,modules/wallet/wallet.routes.ts,wallet.controller,UNKNOWN,WalletWithdrawRequest,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW"
wallet,lib/features/wallet/data/repositories/wallet_repository.dart:83,POST,/api/v1/wallet/withdraw/requests/{id}/cancel,id,none,none,200,none,none,required,n/a,no,no,modules/wallet/wallet.routes.ts,wallet.controller,UNKNOWN,WalletWithdrawRequest,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW"
notifications,lib/features/notifications/data/repositories/notification_repository.dart:44,POST,/api/v1/notifications/device-token,none,none,"token;platform;provider=fcm",200,none,none,required,n/a,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,UserDeviceToken,KEEP_COMPATIBLE,PARTIAL,"Source comment says 'Fails silently until backend endpoint ships' despite matching route existing server-side; production-readiness uncertain, downgraded from CONFIRMED"
notifications,lib/features/notifications/data/repositories/notification_repository.dart:65,DELETE,/api/v1/notifications/device-token,none,none,none,200,none,none,required (best-effort),n/a,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,UserDeviceToken,KEEP_COMPATIBLE,PARTIAL,"Same caveat as registration; called on logout"
notifications,lib/features/notifications/data/repositories/notification_repository.dart:76,GET/PATCH,/api/v1/notifications/settings,none,none,"allowEmail;allowSms etc.",200,"prefs",none,required,none,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,UserNotificationPrefs,KEEP_COMPATIBLE,CONFIRMED,"Also surfaced via settings feature"
notifications,lib/features/notifications/data/repositories/notification_repository.dart:94,GET,/api/v1/notifications,none,"limit;cursor",none,200,list,none,required,cursor,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,Notification,KEEP_COMPATIBLE,CONFIRMED,none
notifications,lib/features/notifications/data/repositories/notification_repository.dart:115,POST,/api/v1/notifications/{id}/read,id,none,none,200,none,none,required,n/a,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,NotificationRead,KEEP_COMPATIBLE,CONFIRMED,none
notifications,lib/features/notifications/data/repositories/notification_repository.dart:132,POST,/api/v1/notifications/read-all,none,none,none,200,none,none,required,n/a,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,NotificationRead,KEEP_COMPATIBLE,CONFIRMED,none
notifications,lib/features/notifications/data/repositories/notification_repository.dart:147,GET,/api/v1/notifications/unread-count,none,none,none,200,"data.count",none,required,none,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,Notification,KEEP_COMPATIBLE,CONFIRMED,none
reports,lib/core/services/report_service.dart:35,POST,/api/v1/reports,none,none,"type;targetId;reason;etc.",200/201,"report",none,required,n/a,no,no,modules/reports/reports.routes.ts,reports.controller,UNKNOWN,Report,KEEP_COMPATIBLE,CONFIRMED,"Generic content report for posts/users/adoption listings via type field"
reports,lib/core/network/api_endpoints.dart:426,GET,/api/v1/reports/reasons,none,type,none,unknown,unknown,unknown,unknown,none,no,no,none,none,none,none,LEGACY_UNUSED,CONFIRMED,"No live caller found in Flutter app; no matching route in furtail_api reports.routes.ts either -- unimplemented on both sides, not a migration requirement"
stories,lib/features/story/data/datasources/story_remote_ds.dart:29,GET,/api/v1/stories/feed,none,limit,none,200,list,none,required,limit-only,no,no,modules/stories/stories.routes.ts,stories.controller,UNKNOWN,Story,KEEP_COMPATIBLE,CONFIRMED,none
stories,lib/features/story/data/datasources/story_remote_ds.dart:44,POST,/api/v1/stories,none,none,"media reference;caption etc.",200/201,"story",none,required,n/a,yes (likely pre-uploaded via /media/upload),no,modules/stories/stories.routes.ts,stories.controller,UNKNOWN,Story,KEEP_COMPATIBLE,PARTIAL,"Media handling not individually confirmed multipart vs media-id reference"
stories,lib/features/story/data/datasources/story_remote_ds.dart:58,POST,/api/v1/stories/{id}/view,id,none,none,200,none,none,required,n/a,no,no,modules/stories/stories.routes.ts,stories.controller,UNKNOWN,StoryView,KEEP_COMPATIBLE,CONFIRMED,none
stories,lib/features/story/data/datasources/story_remote_ds.dart:66,DELETE,/api/v1/stories/{id},id,none,none,200/204,none,none,required,none,no,no,modules/stories/stories.routes.ts,stories.controller,UNKNOWN,Story,KEEP_COMPATIBLE,CONFIRMED,none
settings,lib/features/settings/data/repositories/settings_repository.dart,GET/PATCH,/api/v1/notifications/settings,none,none,"allowEmail;allowSms",200,"prefs",none,required,none,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,UserNotificationPrefs,KEEP_COMPATIBLE,CONFIRMED,"Shared with notifications feature; local cache merged with server response"
settings,lib/features/settings/data/repositories/settings_repository.dart,none,none,none,none,none,none,"local privacy settings",none,n/a,none,no,no,n/a,n/a,n/a,n/a,KEEP_COMPATIBLE,CONFIRMED,"Privacy settings are local-only (SharedPreferences), no backend call"
settings,lib/features/settings/data/repositories/settings_repository.dart:167,DELETE,/api/v1/notifications/device-token,none,none,none,200,none,none,required,n/a,no,no,modules/notifications/notifications.routes.ts,notifications.controller,UNKNOWN,UserDeviceToken,KEEP_COMPATIBLE,PARTIAL,"Called from settings-driven logout path; same production-readiness caveat as notifications entry above"
location,lib/features/common/data/repositories/bd_locations_repository.dart,GET,/api/v1/common/bd/divisions,none,none,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,BdDivision,KEEP_COMPATIBLE,CONFIRMED,"Legacy BD-specific location hierarchy"
location,lib/features/common/data/repositories/bd_locations_repository.dart,GET,/api/v1/common/bd/districts,divisionId (query),divisionId,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,BdDistrict,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/common/data/repositories/bd_locations_repository.dart,GET,/api/v1/common/bd/upazilas,districtId (query),districtId,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,BdUpazila,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/common/data/repositories/bd_locations_repository.dart,GET,/api/v1/common/bd/areas,upazilaId (query),upazilaId,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,BdArea,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/common/data/repositories/bd_locations_repository.dart,GET,/api/v1/common/bd/city-corporations,districtId (query),districtId,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,CityCorporation,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/common/data/repositories/bd_locations_repository.dart,GET,/api/v1/common/bd/zones,cityCorporationId (query),cityCorporationId,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,CoverageZone,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/common/data/repositories/bd_locations_repository.dart,GET,/api/v1/common/bd/cc-areas,zoneId (query),zoneId,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,CoverageZoneArea,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/common/data/repositories/bd_locations_repository.dart,POST,/api/v1/common/location-master/validate-selection,none,none,"selected ids",200,"validation result",none,unknown,n/a,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,PARTIAL,"Path/exact controller not individually re-verified"
location,lib/features/location/data/location_repository.dart,GET,/api/v1/location-master/divisions,none,"locale;pageSize;q;parentId",none,200,list,none,unknown,page-size based,no,no,src/modules/location/location.routes.ts,location.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,CONFIRMED,"Newer parallel location system, not yet reconciled with common/bd/*"
location,lib/features/location/data/location_repository.dart,GET,/api/v1/location-master/districts,none,"locale;pageSize;q;parentId",none,200,list,none,unknown,page-size based,no,no,src/modules/location/location.routes.ts,location.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/location/data/location_repository.dart,GET,/api/v1/location-master/upazilas,none,"locale;pageSize;q;parentId",none,200,list,none,unknown,page-size based,no,no,src/modules/location/location.routes.ts,location.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/location/data/location_repository.dart,GET,/api/v1/location-master/unions,none,"locale;pageSize;q;parentId",none,200,list,none,unknown,page-size based,no,no,src/modules/location/location.routes.ts,location.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,CONFIRMED,none
location,lib/features/legacy/presentation/screens/country_picker_screen.dart:47,GET,/api/v1/public/countries,none,none,none,200,list,none,not required,none,no,no,modules/countries/countries.routes.ts,countries.controller,UNKNOWN,Country,KEEP_COMPATIBLE,CONFIRMED,"Only surviving legacy/ screen with a real backend call"
location,lib/core/network/api_endpoints.dart,GET,/api/v1/public/countries/default,none,none,none,unknown,unknown,unknown,not required,none,no,no,modules/countries/countries.routes.ts,countries.controller,UNKNOWN,Country,KEEP_COMPATIBLE,PARTIAL,"Actual furtail_api path is /public/countries/default not /public/country-default; Flutter's ApiEndpoints.publicCountryDefault defined but caller not independently confirmed in this pass"
share,lib/core/services/share_service.dart:20,GET,/api/v1/common/share-link,none,"type;id",none,200,"link",none,unknown,n/a,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,CONFIRMED,"Server-generated deep link for share sheets"
legacy_screens,lib/features/legacy/presentation/screens/shop_screen.dart;services_screen.dart;vet_screen.dart;donation_screen.dart;dashboard_screen.dart;create_post_screen.dart;edit_post_screen.dart;settings_screen.dart;language_select_screen.dart;splash_screen.dart;adoption_screen.dart,none,none,none,none,none,none,none,none,none,n/a,no,no,n/a,n/a,n/a,n/a,LEGACY_UNUSED,CONFIRMED,"No ApiEndpoints calls found in any of these screens; superseded by features/posts, features/settings, features/adoption respectively"
messaging,none,none,none,none,none,none,none,none,none,none,none,no,no,none,none,none,none,UNKNOWN,CONFIRMED,"CONFIRMED ABSENT on both client and backend -- no chat/message/conversation feature, route, or Prisma model exists anywhere"
search,none,none,none,none,none,none,none,none,none,none,none,no,no,none,none,none,none,UNKNOWN,CONFIRMED,"CONFIRMED ABSENT as a dedicated capability -- search exists only as query params on postsVideos(search:) and adoptions(search:)"
socket_realtime,none,none,none,none,none,none,none,none,none,none,none,no,no,src/realtime/socketio.gateway.ts;src/socket/notification.socket.ts,unknown,UNKNOWN,none,UNKNOWN,CONFIRMED,"furtail_api runs Socket.IO server-side (notification:new;unread:count;QUEUE_UPDATED;NOW_SERVING_CHANGED;ESTIMATE_UPDATED;DOCTOR_QUEUE_UPDATED events; rooms user:{userId} etc.) but no Flutter client socket usage exists -- AppConfig.socketUrl is populated from env but unconsumed dead config"
offline_sync,lib/core/offline/sync_queue.dart,none,none,none,none,none,none,"local queue only",none,n/a,none,no,no,n/a,n/a,n/a,n/a,UNKNOWN,CONFIRMED,"Built but not wired -- queues likePost/unlikePost/addComment/deleteComment/createPostDraft locally, explicit TODO in source: no execution/replay logic implemented"
